eco	name	fen	moves
C03	French Defense: Tarrasch Variation, Haberditz Variation	rnbqkbnr/ppp3pp/4p3/3p1p2/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 f7f5
C03	French Defense: Tarrasch Variation, Modern System	rnbqkbnr/1pp2ppp/p3p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 a7a6
C03	French Defense: Tarrasch Variation, Morozevich Variation	rnbqk1nr/ppp1bppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 f8e7
C04	French Defense: Tarrasch Variation, Guimard Defense, Main Line	r1bqkb1r/ppp2ppp/2n1pn2/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 g1f3 g8f6
C05	French Defense: Tarrasch Variation, Botvinnik Variation	rnbqkb1r/p2n1ppp/1p2p3/2ppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b7b6
C05	French Defense: Tarrasch Variation, Closed Variation	rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6
C05	French Defense: Tarrasch Variation, Closed Variation	r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6
C05	French Defense: Tarrasch Variation, Pawn Center Variation	rnbqkb1r/pppn1ppp/4p3/3pP3/3P1P2/8/PPPN2PP/R1BQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4
C06	French Defense: Tarrasch Variation, Closed Variation, Main Line	r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R b KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4
C06	French Defense: Tarrasch Variation, Leningrad Variation	r1bqkb1r/pp3ppp/1nn1p3/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4 d7b6
C07	French Defense: Tarrasch Variation, Chistyakov Defense	rnb1kbnr/pp3ppp/4p3/2pq4/3P4/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5
C07	French Defense: Tarrasch Variation, Chistyakov Defense, Modern Line	r1b1kb1r/1p3ppp/p2qpn2/8/2BN4/8/PPP2PPP/R1BQ1RK1 w kq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6
C07	French Defense: Tarrasch Variation, Eliskases Variation	rnbqkbnr/pp3ppp/4p3/8/2Bp4/5N2/PPPN1PPP/R1BQK2R w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d8
C07	French Defense: Tarrasch Variation, Open System	rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5
C07	French Defense: Tarrasch Variation, Open System, Euwe-Keres Line	rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3
C07	French Defense: Tarrasch Variation, Open System, Shaposhnikov Gambit	rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 g8f6
C07	French Defense: Tarrasch Variation, Open System, Süchting Line	rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/2P5/PP1N1PPP/R1BQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 c2c3
C08	French Defense: Tarrasch Variation, Open System	rnbqkbnr/pp3ppp/8/2pp4/3P4/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5
C08	French Defense: Tarrasch Variation, Open System, Advance Line	rnbqkbnr/pp3ppp/8/3p4/2pP4/5N2/PPPN1PPP/R1BQKB1R w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 c5c4
C09	French Defense: Tarrasch Variation, Open System, Main Line	r1bqkbnr/pp3ppp/2n5/2pp4/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6
C10	French Defense: Classical Variation, Svenonius Variation	r1bqkbnr/ppp2ppp/2n1p3/3P4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 b8c6 e4d5
C10	French Defense: Paulsen Variation	rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3
C10	French Defense: Rubinstein Variation	rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4
C10	French Defense: Rubinstein Variation, Blackburne Defense	r1bqkbnr/pppn1ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7
C10	French Defense: Rubinstein Variation, Capablanca Line	r1bqkb1r/ppp2ppp/4pn2/4N3/3P4/8/PPP2PPP/R1BQKB1R b KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7 g1f3 g8f6 e4f6 d7f6 f3e5
C10	French Defense: Rubinstein Variation, Ellis Gambit	rnbqkbnr/ppp2ppp/8/4p3/3PN3/8/PPP2PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 e6e5
C10	French Defense: Rubinstein Variation, Fort Knox Variation	rn1qkbnr/ppp2ppp/2b1p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 c8d7 g1f3 d7c6
C10	French Defense: Rubinstein Variation, Kasparov Attack	r1bqkb1r/ppp2ppp/4pn2/8/3P4/2P2N2/PP3PPP/R1BQKB1R b KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 d5e4 d2e4 b8d7 g1f3 g8f6 e4f6 d7f6 c2c3
C10	French Defense: Rubinstein Variation, Maric Variation	rnb1kbnr/ppp2ppp/4p3/3q4/3PN3/8/PPP2PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 d8d5
